Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
31.82072829,83.27482493,83.27482493,83.27482493,0,0,
32.04481793,83.25941877,83.25941877,83.25941877,0,0,
32.26890756,83.24401261,83.24401261,83.24401261,0,0,
32.4929972,83.22860644,83.22860644,83.22860644,0,0,
32.71708683,83.21320028,83.21320028,83.21320028,0,0,
32.94117647,83.19779412,83.19779412,83.19779412,0,0,
33.16526611,83.18238796,83.18238796,83.18238796,0,0,
33.38935574,83.16698179,83.16698179,83.16698179,0,0,
33.61344538,83.15157563,83.15157563,83.15157563,0,0,
33.83753501,83.13616947,83.13616947,83.13616947,0,0,
34.06162465,83.12076331,83.12076331,83.12076331,0,0,
34.28571429,83.10535714,83.10535714,83.10535714,0,0,
34.50980392,83.08995098,83.08995098,83.08995098,0,0,
34.73389356,83.07454482,83.07454482,83.07454482,0,0,
34.95798319,83.05913866,83.05913866,83.05913866,0,0,
35.18207283,83.04373249,83.04373249,83.04373249,0,0,
35.40616246,83.02832633,83.02832633,83.02832633,0,0,
35.6302521,83.01292017,83.01292017,83.01292017,0,0,
35.85434174,82.99751401,82.99751401,82.99751401,0,0,
36.07843137,82.98210784,82.98210784,82.98210784,0,0,
36.30252101,82.96670168,82.96670168,82.96670168,0,0,
36.52661064,82.95129552,82.95129552,82.95129552,0,0,
36.75070028,82.93588936,82.93588936,82.93588936,0,0,
36.97478992,82.92048319,82.92048319,82.92048319,0,0,
37.19887955,82.90507703,82.90507703,82.90507703,0,0,
37.42296919,82.88967087,82.88967087,82.88967087,0,0,
37.64705882,82.87426471,82.87426471,82.87426471,0,0,
37.87114846,82.85885854,82.85885854,82.85885854,0,0,
38.0952381,82.84345238,82.84345238,82.84345238,0,0,
38.31932773,82.82804622,82.82804622,82.82804622,0,0,
38.54341737,82.81264006,82.81264006,82.81264006,0,0,
38.767507,82.79723389,82.79723389,82.79723389,0,0,
38.99159664,82.78182773,82.78182773,82.78182773,0,0,
39.21568627,82.76642157,82.76642157,82.76642157,0,0,
39.43977591,82.75101541,82.75101541,82.75101541,0,0,
39.66386555,82.73560924,82.73560924,82.73560924,0,0,
39.88795518,82.72020308,82.72020308,82.72020308,0,0,
40.11204482,82.70479692,82.70479692,82.70479692,0,0,
40.33613445,82.68939076,82.68939076,82.68939076,0,0,
40.56022409,82.67398459,82.67398459,82.67398459,0,0,
40.78431373,82.65857843,82.65857843,82.65857843,0,0,
41.00840336,82.64317227,82.64317227,82.64317227,0,0,
41.232493,82.62776611,82.62776611,82.62776611,0,0,
41.45658263,82.61235994,82.61235994,82.61235994,0,0,
41.68067227,82.59695378,82.59695378,82.59695378,0,0,
41.9047619,82.58154762,82.58154762,82.58154762,0,0,
42.12885154,82.56614146,82.56614146,82.56614146,0,0,
42.35294118,82.55073529,82.55073529,82.55073529,0,0,
42.57703081,82.53532913,82.53532913,82.53532913,0,0,
42.80112045,82.51992297,82.51992297,82.51992297,0,0,
43.02521008,82.50451681,82.50451681,82.50451681,0,0,
43.24929972,82.48911064,82.48911064,82.48911064,0,0,
43.47338936,82.47370448,82.47370448,82.47370448,0,0,
43.69747899,82.45829832,82.45829832,82.45829832,0,0,
43.92156863,82.44289216,82.44289216,82.44289216,0,0,
44.14565826,82.42748599,82.42748599,82.42748599,0,0,
44.3697479,82.41207983,82.41207983,82.41207983,0,0,
44.59383754,82.39667367,82.39667367,82.39667367,0,0,
44.81792717,82.38126751,82.38126751,82.38126751,0,0,
45.04201681,82.36586134,82.36586134,82.36586134,0,0,
45.26610644,82.35045518,82.35045518,82.35045518,0,0,
45.49019608,82.33504902,82.33504902,82.33504902,0,0,
45.71428571,82.31964286,82.31964286,82.31964286,0,0,
