Ageing Time,C3,C3 (Pred)*,C3 (True),AE,SE,RMSE
117.8711485,79.91073763,79.91073763,79.91073763,0,0,
118.0952381,79.89801587,79.89801587,79.89801587,0,0,
118.3193277,79.89334734,79.89334734,79.89334734,0,0,
118.5434174,79.8886788,79.8886788,79.8886788,0,0,
118.767507,79.88401027,79.88401027,79.88401027,0,0,
118.9915966,79.87934174,79.87934174,79.87934174,0,0,
119.2156863,79.8746732,79.8746732,79.8746732,0,0,
119.4397759,79.87000467,79.87000467,79.87000467,0,0,
119.6638655,79.86533613,79.86533613,79.86533613,0,0,
119.8879552,79.8606676,79.8606676,79.8606676,0,0,
120.1120448,79.85599907,79.85599907,79.85599907,0,0,
120.3361345,79.85133053,79.85133053,79.85133053,0,0,
120.5602241,79.846662,79.846662,79.846662,0,0,
120.7843137,79.84199346,79.84199346,79.84199346,0,0,
121.0084034,79.83732493,79.83732493,79.83732493,0,0,
121.232493,79.8326564,79.8326564,79.8326564,0,0,
121.4565826,79.82798786,79.82798786,79.82798786,0,0,
121.6806723,79.82331933,79.82331933,79.82331933,0,0,
121.9047619,79.81865079,79.81865079,79.81865079,0,0,
122.1288515,79.81398226,79.81398226,79.81398226,0,0,
122.3529412,79.80931373,79.80931373,79.80931373,0,0,
122.5770308,79.80464519,79.80464519,79.80464519,0,0,
122.8011204,79.79997666,79.79997666,79.79997666,0,0,
123.0252101,79.79530812,79.79530812,79.79530812,0,0,
123.2492997,79.79063959,79.79063959,79.79063959,0,0,
123.4733894,79.78597106,79.78597106,79.78597106,0,0,
123.697479,79.78130252,79.78130252,79.78130252,0,0,
123.9215686,79.77663399,79.77663399,79.77663399,0,0,
124.1456583,79.77196545,79.77196545,79.77196545,0,0,
124.3697479,79.76729692,79.76729692,79.76729692,0,0,
124.5938375,79.76262838,79.76262838,79.76262838,0,0,
124.8179272,79.75795985,79.75795985,79.75795985,0,0,
125.0420168,79.75329132,79.75329132,79.75329132,0,0,
125.2661064,79.74862278,79.74862278,79.74862278,0,0,
125.4901961,79.74395425,79.74395425,79.74395425,0,0,
125.7142857,79.73928571,79.73928571,79.73928571,0,0,
125.9383754,79.73461718,79.73461718,79.73461718,0,0,
126.162465,79.72994865,79.72994865,79.72994865,0,0,
126.3865546,79.72528011,79.72528011,79.72528011,0,0,
126.6106443,79.72061158,79.72061158,79.72061158,0,0,
126.8347339,79.71594304,79.71594304,79.71594304,0,0,
127.0588235,79.71127451,79.71127451,79.71127451,0,0,
127.2829132,79.70660598,79.70660598,79.70660598,0,0,
127.5070028,79.70193744,79.70193744,79.70193744,0,0,
127.7310924,79.69726891,79.69726891,79.69726891,0,0,
127.9551821,79.69260037,79.69260037,79.69260037,0,0,
128.1792717,79.68793184,79.68793184,79.68793184,0,0,
128.4033613,79.68326331,79.68326331,79.68326331,0,0,
128.627451,79.67859477,79.67859477,79.67859477,0,0,
128.8515406,79.67392624,79.67392624,79.67392624,0,0,
129.0756303,79.6692577,79.6692577,79.6692577,0,0,
129.2997199,79.66458917,79.66458917,79.66458917,0,0,
129.5238095,79.65992063,79.65992063,79.65992063,0,0,
129.7478992,79.6552521,79.6552521,79.6552521,0,0,
129.9719888,79.65058357,79.65058357,79.65058357,0,0,
130.1960784,79.64591503,79.64591503,79.64591503,0,0,
130.4201681,79.6412465,79.6412465,79.6412465,0,0,
130.6442577,79.63657796,79.63657796,79.63657796,0,0,
130.8683473,79.63190943,79.63190943,79.63190943,0,0,
131.092437,79.6272409,79.6272409,79.6272409,0,0,
131.3165266,79.62257236,79.62257236,79.62257236,0,0,
131.5406162,79.61790383,79.61790383,79.61790383,0,0,
131.7647059,79.61323529,79.61323529,79.61323529,0,0,
131.9887955,79.60856676,79.60856676,79.60856676,0,0,
132.2128852,79.60389823,79.60389823,79.60389823,0,0,
132.4369748,79.59922969,79.59922969,79.59922969,0,0,
132.6610644,79.59456116,79.59456116,79.59456116,0,0,
132.8851541,79.58989262,79.58989262,79.58989262,0,0,
133.1092437,79.58522409,79.58522409,79.58522409,0,0,
133.3333333,79.58055556,79.58055556,79.58055556,0,0,
133.557423,79.57588702,79.57588702,79.57588702,0,0,
133.7815126,79.57121849,79.57121849,79.57121849,0,0,
134.0056022,79.56654995,79.56654995,79.56654995,0,0,
134.2296919,79.56188142,79.56188142,79.56188142,0,0,
134.4537815,79.55721289,79.55721289,79.55721289,0,0,
134.6778711,79.55254435,79.55254435,79.55254435,0,0,
134.9019608,79.54787582,79.54787582,79.54787582,0,0,
135.1260504,79.54320728,79.54320728,79.54320728,0,0,
135.3501401,79.53853875,79.53853875,79.53853875,0,0,
135.5742297,79.53387021,79.53387021,79.53387021,0,0,
135.7983193,79.52920168,79.52920168,79.52920168,0,0,
136.022409,79.52453315,79.52453315,79.52453315,0,0,
136.2464986,79.51986461,79.51986461,79.51986461,0,0,
136.4705882,79.51519608,79.51519608,79.51519608,0,0,
136.6946779,79.51052754,79.51052754,79.51052754,0,0,
136.9187675,79.50585901,79.50585901,79.50585901,0,0,
137.1428571,79.50119048,79.50119048,79.50119048,0,0,
137.3669468,79.49652194,79.49652194,79.49652194,0,0,
137.5910364,79.49185341,79.49185341,79.49185341,0,0,
137.8151261,79.48718487,79.48718487,79.48718487,0,0,
138.0392157,79.48251634,79.48251634,79.48251634,0,0,
138.2633053,79.47784781,79.47784781,79.47784781,0,0,
138.487395,79.47317927,79.47317927,79.47317927,0,0,
138.7114846,79.46851074,79.46851074,79.46851074,0,0,
138.9355742,79.4638422,79.4638422,79.4638422,0,0,
139.1596639,79.45917367,79.45917367,79.45917367,0,0,
139.3837535,79.45450514,79.45450514,79.45450514,0,0,
139.6078431,79.4498366,79.4498366,79.4498366,0,0,
139.8319328,79.44516807,79.44516807,79.44516807,0,0,
140.0560224,79.44049953,79.44049953,79.44049953,0,0,
140.280112,79.435831,79.435831,79.435831,0,0,
140.5042017,79.43116246,79.43116246,79.43116246,0,0,
140.7282913,79.42649393,79.42649393,79.42649393,0,0,
