Ageing Time,C6
56.47058824,74.10931373
56.69467787,74.08597106
56.91876751,74.06262838
57.14285714,74.03928571
57.36694678,74.01594304
57.59103641,73.99260037
57.81512605,73.9692577
58.03921569,73.94591503
58.26330532,73.92257236
58.48739496,73.89922969
58.71148459,73.87588702
58.93557423,73.85254435
59.15966387,73.82920168
59.3837535,73.80585901
59.60784314,73.78251634
59.83193277,73.75917367
60.05602241,73.735831
60.28011204,73.71248833
60.50420168,73.68914566
60.72829132,73.66580299
60.95238095,73.64246032
61.17647059,73.61911765
61.40056022,73.59577498
61.62464986,73.57243231
61.8487395,73.54908964
62.07282913,73.52574697
62.29691877,73.5024043
62.5210084,73.47906162
62.74509804,73.45571895
62.96918768,73.43237628
63.19327731,73.40903361
63.41736695,73.38569094
63.64145658,73.36234827
63.86554622,73.3390056
64.08963585,73.31566293
64.31372549,73.29232026
64.53781513,73.26897759
64.76190476,73.24563492
64.9859944,73.22229225
65.21008403,73.19894958
65.43417367,73.17560691
65.65826331,73.15226424
65.88235294,73.12892157
66.10644258,73.1055789
66.33053221,73.08223623
66.55462185,73.05889356
66.77871148,73.03555089
67.00280112,73.01220822
67.22689076,72.98886555
67.45098039,72.96552288
67.67507003,72.94218021
67.89915966,72.91883754
68.1232493,72.89549486
68.34733894,72.87215219
68.57142857,72.84880952
68.79551821,72.82546685
69.01960784,72.80212418
69.24369748,72.77878151
69.46778711,72.75543884
69.69187675,72.73209617
69.91596639,72.7087535
70.14005602,72.69066293
70.36414566,72.67572362
70.58823529,72.66078431
70.81232493,72.645845
71.03641457,72.6309057
71.2605042,72.61596639
71.48459384,72.60102708
71.70868347,72.58608777
71.93277311,72.57114846
72.15686275,72.55620915
72.38095238,72.54126984
72.60504202,72.52633053
72.82913165,72.51139122
73.05322129,72.49645191
73.27731092,72.48151261
73.50140056,72.4665733
73.7254902,72.45163399
73.94957983,72.43669468
74.17366947,72.42175537
74.3977591,72.40681606
74.62184874,72.39187675
74.84593838,72.37693744
75.07002801,72.36199813
75.29411765,72.34705882
75.51820728,72.33211951
75.74229692,72.31718021
75.96638655,72.3022409
76.19047619,72.28730159
76.41456583,72.27236228
76.63865546,72.25742297
76.8627451,72.24248366
77.08683473,72.22754435
77.31092437,72.21260504
77.53501401,72.19766573
77.75910364,72.18272642
77.98319328,72.16778711
78.20728291,72.15284781
78.43137255,72.1379085
78.65546218,72.12296919
78.87955182,72.10802988
79.10364146,72.09309057
79.32773109,72.07815126
79.55182073,72.06321195
79.77591036,72.04827264
80,72.03333333
80.22408964,72.01839402
80.44817927,72.00345472
80.67226891,71.98851541
80.89635854,71.9735761
81.12044818,71.95863679
81.34453782,71.94369748
81.56862745,71.92875817
81.79271709,71.91381886
82.01680672,71.89887955
82.24089636,71.88394024
82.46498599,71.86900093
82.68907563,71.85406162
82.91316527,71.83912232
83.1372549,71.82418301
83.36134454,71.8092437
83.58543417,71.79430439
83.80952381,71.77936508
84.03361345,71.76442577
84.25770308,71.74948646
84.48179272,71.73454715
84.70588235,71.71960784
84.92997199,71.70466853
85.15406162,71.68972923
85.37815126,71.67478992
85.6022409,71.65985061
85.82633053,71.6449113
86.05042017,71.62997199
86.2745098,71.61503268
86.49859944,71.60009337
86.72268908,71.58515406
86.94677871,71.57021475
87.17086835,71.55527544
87.39495798,71.54033613
87.61904762,71.52539683
87.84313725,71.51045752
88.06722689,71.49551821
88.29131653,71.4805789
88.51540616,71.46563959
88.7394958,71.45070028
88.96358543,71.43576097
89.18767507,71.42082166
89.41176471,71.40588235
89.63585434,71.39094304
89.85994398,71.37600373
90.08403361,71.36106443
90.30812325,71.34612512
90.53221289,71.33118581
90.75630252,71.3162465
90.98039216,71.30130719
91.20448179,71.28636788
91.42857143,71.27142857
91.65266106,71.25648926
91.8767507,71.24154995
92.10084034,71.22661064
92.32492997,71.21167134
92.54901961,71.19673203
92.77310924,71.18179272
92.99719888,71.16685341
93.22128852,71.1519141
93.44537815,71.13697479
93.66946779,71.12203548
93.89355742,71.10709617
94.11764706,71.07745098
94.34173669,71.03450047
94.56582633,70.99154995
94.78991597,70.94859944
95.0140056,70.90564893
95.23809524,70.86269841
95.46218487,70.8197479
95.68627451,70.77679739
95.91036415,70.73384687
96.13445378,70.69089636
96.35854342,70.64794585
96.58263305,70.60499533
96.80672269,70.56204482
97.03081232,70.5190943
97.25490196,70.47614379
97.4789916,70.43319328
97.70308123,70.39024276
97.92717087,70.34729225
98.1512605,70.30434174
98.37535014,70.26139122
98.59943978,70.21844071
98.82352941,70.1754902
99.04761905,70.13253968
99.27170868,70.08958917
99.49579832,70.04663866
99.71988796,70.00368814
99.94397759,69.96073763
100.1680672,69.91778711
100.3921569,69.8748366
100.6162465,69.83188609
100.8403361,69.78893557
101.0644258,69.74598506
101.2885154,69.70303455
101.512605,69.66008403
101.7366947,69.61713352
101.9607843,69.57418301
102.1848739,69.53123249
102.4089636,69.48828198
102.6330532,69.44533147
102.8571429,69.40238095
103.0812325,69.35943044
103.3053221,69.31647993
103.5294118,69.27352941
103.7535014,69.2305789
103.977591,69.18762838
104.2016807,69.14467787
104.4257703,69.10172736
104.6498599,69.05877684
104.8739496,69.01582633
105.0980392,68.97287582
105.3221289,68.9299253
105.5462185,68.88697479
105.7703081,68.84402428
105.9943978,68.80107376
106.2184874,68.75812325
106.442577,68.71517274
106.6666667,68.67222222
106.8907563,68.62927171
107.1148459,68.5863212
107.3389356,68.54337068
107.5630252,68.50042017
107.7871148,68.45746965
108.0112045,68.41451914
108.2352941,68.37156863
108.4593838,68.32861811
108.6834734,68.2856676
108.907563,68.24271709
109.1316527,68.19976657
109.3557423,68.15681606
109.5798319,68.11386555
109.8039216,68.07091503
110.0280112,68.02796452
110.2521008,67.98501401
110.4761905,67.94206349
110.7002801,67.89911298
110.9243697,67.85616246
111.1484594,67.81321195
111.372549,67.77026144
